Source,Target,Type,Id,Label,timeset,Weight
123,124,Directed,0,,,4
124,125,Directed,1,,,4
125,126,Directed,2,,,4
126,127,Directed,3,,,4
127,128,Directed,4,,,4
0,123,Directed,5,,,2
1,123,Directed,6,,,2
2,123,Directed,7,,,2
7,123,Directed,8,,,2
104,123,Directed,9,,,2
107,123,Directed,10,,,2
114,123,Directed,11,,,2
27,124,Directed,12,,,2
28,124,Directed,13,,,2
38,124,Directed,14,,,2
105,124,Directed,15,,,2
106,124,Directed,16,,,2
110,124,Directed,17,,,2
115,124,Directed,18,,,2
116,124,Directed,19,,,2
42,125,Directed,20,,,2
43,125,Directed,21,,,2
117,125,Directed,22,,,2
58,126,Directed,23,,,2
59,126,Directed,24,,,2
61,126,Directed,25,,,2
118,126,Directed,26,,,2
77,127,Directed,27,,,2
79,127,Directed,28,,,2
108,127,Directed,29,,,2
109,127,Directed,30,,,2
119,127,Directed,31,,,2
120,127,Directed,32,,,2
89,128,Directed,33,,,2
98,128,Directed,34,,,2
99,128,Directed,35,,,2
103,128,Directed,36,,,2
111,128,Directed,37,,,2
112,128,Directed,38,,,2
113,128,Directed,39,,,2
121,128,Directed,40,,,2
122,128,Directed,41,,,2
192,125,Directed,42,,,2
193,125,Directed,43,,,2
194,125,Directed,44,,,2
